Product,Flow,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Natural gas,"Electricity, CHP and heat plants (ktoe)",-73.6458,-80.0945,-150.6448,-153.6543,-153.2889,-182.3946,-227.7945,-251.6982,-331.7498,-575.8383,-872.8289,-2036.9734,-2610.5546,-2521.9691,-3996.3457,-3914.209,-3619.7549,-3067.7343,-5567.7773,-2569.2606,-6807.5666,-5087.7257,-8810.3181,-13519.8624,-16349.0541,-15970.0988,-11096.6466,-12762.9751,-10648.2222
Natural gas,"Oil refineries, transformation (ktoe)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas,Total final consumption (ktoe),2479.9226,2588.5641,2665.4772,2805.4815,2903.3749,3060.5546,3439.8753,3729.3422,3789.2519,4037.2313,4990.5202,5927.1926,7345.6148,7792.1539,8988.994,9885.3396,10591.509,11366.1651,11410.6621,9860.1462,13122.4205,13104.1273,13068.5082,13182.0937,13016.896,13066.2081,12283.061,12276.2268,13213.8286
Natural gas,Industry (ktoe),1407.2227,1462.0808,1582.5881,1687.3173,1741.509,2019.7764,2451.9347,2740.7782,2683.9639,3011.7584,3764.8323,4447.6569,5431.8358,5594.0241,6484.2218,7029.3207,7360.1032,7874.7206,8225.4729,6968.2287,9024.5271,9742.8418,9583.8779,9475.4729,9447.442,9679.5572,8618.3362,8753.2994,8978.3957
Natural gas,Transport (ktoe),1.7197,1.7197,0.0,21.4101,39.4024,41.9604,30.8255,40.2408,113.0267,136.1565,268.0353,489.8323,839.2089,1137.2098,1353.0095,1665.2837,1975.2365,2191.3801,2100.3009,1803.2459,2179.0413,1989.8108,2091.7025,2360.7266,2389.1445,2263.6715,2486.221,2352.0305,3130.6052
Natural gas,Residential (ktoe),138.4351,142.5193,133.448,141.1006,113.9295,119.0456,133.9854,135.3611,140.4987,128.031,152.73,143.0567,152.2786,167.8418,176.3972,185.6836,201.7627,214.6389,223.0653,231.8788,248.3448,272.313,287.5537,312.5537,301.6122,303.1814,346.9475,368.8259,393.7938
Natural gas,Commercial and public services (ktoe),60.834,66.7455,58.8564,67.6268,50.2794,61.1135,71.2597,100.5374,82.2012,70.2279,93.2932,163.2846,217.5193,235.4901,256.0404,274.5056,311.7154,322.8504,168.8521,174.2906,254.7291,225.8813,231.0189,219.8194,212.8977,153.2674,172.4635,131.2687,148.3153
Natural gas,Other final consumption (ktoe),871.7111,915.4987,890.5847,888.0267,958.2545,818.6586,751.8702,712.4248,769.5615,691.0576,711.6294,683.362,704.7722,657.5881,719.325,730.546,742.6913,762.5753,692.9708,682.5022,1415.7782,873.2803,874.3551,813.5211,665.7997,666.5305,659.0929,670.8023,562.7186
Nuclear,Production (ktoe),582.8708,375.7263,458.3236,115.1671,14.3308,656.3485,632.3771,825.712,850.7257,1036.2438,1575.3407,3720.5242,3605.0965,3480.5493,3025.3524,2567.8105,3583.7307,3217.9056,3639.7509,3376.065,3784.1007,4080.0959,4178.8478,4025.639,4006.8788,3839.0787,4133.5105,4100.9917,4083.9748
Nuclear,Imports (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,Exports (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,Total energy supply (ktoe),582.8708,375.7263,458.3236,115.1671,14.3308,656.3485,632.3771,825.712,850.7257,1036.2438,1575.3407,3720.5242,3605.0965,3480.5493,3025.3524,2567.8105,3583.7307,3217.9056,3639.7509,3376.065,3784.1007,4080.0959,4178.8478,4025.639,4006.8788,3839.0787,4133.5105,4100.9917,4083.9748
